"processo","cd_processo","data","dispositivo"
"11145144220208260100","RI006FYOZ0000",2021-08-26,"Deram provimento em parte ao recurso. V. U."
"11168802520188260100","RI005EVMH0000",2019-10-21,"Negaram provimento ao recurso, com determinação. V.U."
"11168802520188260100","RI005EVMH12KW",2020-01-13,"Rejeitaram os embargos. V. U."
"11238211520238260100","RI0083HLC0000",2024-12-12,"Negaram provimento ao recurso. V. U."
"11322731420238260100","RI0089KT80000",2025-11-18,"Negaram provimento ao recurso. V. U."
"11428658320248260100","RI008NZJI0000",2025-07-04,"Deram provimento ao recurso. V. U."
"11573918920238260100","RI008K4170000",2025-02-19,"Deram provimento em parte ao recurso. V. U."
"20004909020208260000","RI005OV3V0000",2020-03-20,"Negaram provimento ao recurso. V. U."
"20518289820238260000","RI007CYQY0000",2023-05-30,"Negaram provimento ao recurso. V. U."
"20518289820238260000","RI007CYQY12KW",2023-05-30,"Julgaram prejudicado o recurso. V. U."
"20741248020248260000","RI007ZD890000",2024-04-30,"Negaram provimento ao recurso. V. U."
"20785354520198260000","RI0051J9T0000",2019-05-08,"Deram provimento ao recurso. V. U."
"20992763820218260000","RI006E08T0000",2021-06-28,"Negaram provimento ao recurso. V. U."
"21004554120208260000","RI005UOCQ0000",2020-06-15,"Negaram provimento ao recurso. V. U."
"21025164020188260000","RI004JX3N0000",2018-06-15,"Deram provimento parcial ao recurso, nos termos que constarão do acórdão. V. U."
"21531703120188260000","RI004NM060000",2018-12-11,"Por maioria, negaram provimento ao recurso, com observação, vencido o 3.º juiz, que declara."
"21997127320198260000","RI005DHVR0000",2021-02-05,"Negaram provimento ao recurso. V. U."
"22090786820218260000","RI006KJUY0000",2021-11-16,"Julgaram prejudicado o recurso. V. U."
"22357438220258260000","RI008XVHZ0000",2025-08-20,"Negaram provimento ao recurso. V. U."
